timestamp,hour,day_of_year,temperature,humidity,cloud_cover,wind_speed,irradiance,solar_output
2023-01-03 04:00:00,4,3,12.66,64.05,0.253,5.49,0.0,0.0
2023-01-03 05:00:00,5,3,12.92,73.79,0.503,3.3,0.0,0.0
2023-01-03 06:00:00,6,3,13.81,66.98,0.47,4.15,0.0,0.0
2023-01-03 07:00:00,7,3,13.77,62.01,0.433,5.34,39.74,17.228
2023-01-03 08:00:00,8,3,13.6,63.71,0.513,5.9,92.88,44.749
2023-01-03 09:00:00,9,3,18.67,64.21,0.902,4.52,97.1,43.588
2023-01-03 10:00:00,10,3,17.43,49.43,0.383,5.36,282.14,128.28
2023-01-03 11:00:00,11,3,21.85,52.16,0.786,6.22,208.4,93.79
2023-01-03 12:00:00,12,3,19.68,43.22,0.203,3.89,439.42,197.961
2023-01-03 13:00:00,13,3,21.13,48.43,0.499,5.13,300.11,136.393
2023-01-03 14:00:00,14,3,19.77,38.2,0.609,4.62,261.25,118.173
2023-01-03 15:00:00,15,3,20.01,52.92,0.702,4.69,182.35,83.367
2023-01-03 16:00:00,16,3,17.79,64.45,0.73,3.92,140.54,64.704
2023-01-03 17:00:00,17,3,15.93,60.29,0.748,3.89,64.23,31.483
2023-01-03 18:00:00,18,3,15.7,58.2,0.496,4.82,39.7,18.828
2023-01-03 19:00:00,19,3,17.01,68.74,0.471,3.21,1.5,0.0
2023-01-03 20:00:00,20,3,12.87,77.84,0.762,4.27,2.1,0.0
2023-01-03 21:00:00,21,3,14.47,68.32,0.531,3.62,9.99,0.0
2023-01-03 22:00:00,22,3,13.27,72.32,0.293,4.63,0.0,0.0
2023-01-03 23:00:00,23,3,14.04,75.7,0.324,4.82,8.29,0.0
2023-01-04 00:00:00,0,4,13.31,57.87,0.375,5.2,0.0,0.0
2023-01-04 01:00:00,1,4,10.01,71.81,0.686,6.64,7.25,0.0
2023-01-04 02:00:00,2,4,12.94,60.76,0.608,6.46,0.0,0.0
2023-01-04 03:00:00,3,4,14.74,77.88,0.729,4.44,8.32,0.0
2023-01-04 04:00:00,4,4,12.09,66.26,0.483,4.26,0.0,0.0
2023-01-04 05:00:00,5,4,14.62,69.86,0.612,5.21,0.0,0.0
2023-01-04 06:00:00,6,4,13.52,80.03,0.715,3.92,0.79,0.0
2023-01-04 07:00:00,7,4,13.74,60.27,0.509,3.85,23.3,11.659
2023-01-04 08:00:00,8,4,16.9,56.08,0.677,6.25,67.87,31.931
2023-01-04 09:00:00,9,4,17.92,42.02,0.431,4.3,191.02,85.141
2023-01-04 10:00:00,10,4,18.63,56.46,0.497,4.7,249.69,112.133
2023-01-04 11:00:00,11,4,20.31,51.95,0.493,5.44,326.69,149.047
2023-01-04 12:00:00,12,4,19.5,40.02,0.314,5.21,384.58,175.422
2023-01-04 13:00:00,13,4,16.72,42.52,0.684,6.3,260.02,118.006
2023-01-04 14:00:00,14,4,18.22,50.55,0.474,5.87,282.93,130.222
2023-01-04 15:00:00,15,4,15.3,65.53,0.58,4.33,204.22,93.701
2023-01-04 16:00:00,16,4,17.88,57.26,0.683,5.65,117.65,54.141
2023-01-04 17:00:00,17,4,16.88,57.92,0.675,4.02,70.25,32.156
2023-01-04 18:00:00,18,4,15.44,77.41,0.723,6.71,19.81,6.951
2023-01-04 19:00:00,19,4,13.98,65.44,0.555,4.19,15.63,0.0
2023-01-04 20:00:00,20,4,14.69,67.84,0.484,4.38,5.18,0.0
2023-01-04 21:00:00,21,4,10.88,57.99,0.559,6.19,20.05,0.0
2023-01-04 22:00:00,22,4,13.08,62.6,0.206,4.4,20.3,0.0
2023-01-04 23:00:00,23,4,11.12,58.78,0.259,3.51,0.61,0.0
2023-01-05 00:00:00,0,5,12.67,72.08,0.289,2.98,0.0,0.0
2023-01-05 01:00:00,1,5,15.63,62.34,0.361,4.37,0.0,0.0
2023-01-05 02:00:00,2,5,14.85,77.27,0.668,5.44,0.0,0.0
2023-01-05 03:00:00,3,5,14.2,67.1,0.381,4.96,0.0,0.0
2023-01-05 04:00:00,4,5,12.94,70.57,0.497,3.74,0.0,0.0
2023-01-05 05:00:00,5,5,11.72,79.94,0.866,6.28,0.0,0.0
2023-01-05 06:00:00,6,5,13.49,69.77,0.502,4.34,7.89,0.0
2023-01-05 07:00:00,7,5,15.66,68.35,0.743,6.69,20.32,8.85
2023-01-05 08:00:00,8,5,16.12,53.87,0.375,4.9,119.75,54.616
2023-01-05 09:00:00,9,5,14.48,58.03,0.535,6.09,165.54,77.331
2023-01-05 10:00:00,10,5,18.12,38.09,0.371,3.02,262.84,119.681
2023-01-05 11:00:00,11,5,15.88,55.41,0.506,5.97,296.28,135.047
2023-01-05 12:00:00,12,5,20.36,51.18,0.765,6.55,193.82,86.965
2023-01-05 13:00:00,13,5,18.12,37.53,0.2,4.03,442.23,199.21
2023-01-05 14:00:00,14,5,16.92,51.75,0.676,6.62,214.85,98.27
2023-01-05 15:00:00,15,5,19.19,49.85,0.633,5.83,163.46,73.603
2023-01-05 16:00:00,16,5,17.7,52.88,0.45,6.11,185.06,84.922
2023-01-05 17:00:00,17,5,15.85,50.02,0.262,4.92,112.63,51.246
2023-01-05 18:00:00,18,5,17.28,70.54,0.596,6.24,37.55,16.806
2023-01-05 19:00:00,19,5,14.16,68.89,0.464,3.75,14.44,0.0
2023-01-05 20:00:00,20,5,12.24,73.57,0.632,4.17,0.0,0.0
2023-01-05 21:00:00,21,5,13.99,79.12,0.585,4.99,22.85,0.0
2023-01-05 22:00:00,22,5,12.78,74.63,0.933,6.52,0.0,0.0
2023-01-05 23:00:00,23,5,15.11,69.91,0.528,4.11,6.97,0.0
2023-01-06 00:00:00,0,6,13.6,58.91,0.358,4.15,21.37,0.0
2023-01-06 01:00:00,1,6,13.75,75.21,0.623,4.07,0.0,0.0
2023-01-06 02:00:00,2,6,11.01,72.55,0.632,6.36,31.68,0.0
2023-01-06 03:00:00,3,6,13.27,77.74,0.883,6.44,2.43,0.0
2023-01-06 04:00:00,4,6,13.09,74.56,0.767,4.03,5.59,0.0
2023-01-06 05:00:00,5,6,11.64,70.35,0.662,3.72,17.62,0.0
2023-01-06 06:00:00,6,6,12.84,90.59,0.906,7.25,6.27,0.0
2023-01-06 07:00:00,7,6,14.61,63.37,0.322,3.99,7.54,4.37
2023-01-06 08:00:00,8,6,15.47,60.77,0.443,4.91,49.47,21.963
2023-01-06 09:00:00,9,6,14.71,46.68,0.38,5.79,176.69,81.602
2023-01-06 10:00:00,10,6,17.53,54.55,0.498,6.11,223.22,100.877
2023-01-06 11:00:00,11,6,18.02,41.9,0.281,2.99,349.03,156.782
2023-01-06 12:00:00,12,6,19.41,51.91,0.723,5.71,221.25,100.406
2023-01-06 13:00:00,13,6,19.25,50.42,0.535,6.32,259.38,118.144
2023-01-06 14:00:00,14,6,18.1,41.58,0.26,3.19,352.52,160.327
2023-01-06 15:00:00,15,6,17.26,43.98,0.36,4.89,283.7,126.852
2023-01-06 16:00:00,16,6,16.93,46.19,0.653,5.95,152.22,70.147
2023-01-06 17:00:00,17,6,16.92,63.86,0.768,4.15,51.11,24.281
2023-01-06 18:00:00,18,6,14.38,73.32,1.0,5.66,19.4,9.674
2023-01-06 19:00:00,19,6,15.31,74.28,1.0,5.12,0.0,0.0
2023-01-06 20:00:00,20,6,14.88,80.76,0.675,3.86,4.05,0.0
2023-01-06 21:00:00,21,6,15.42,72.23,0.366,3.21,17.77,0.0
2023-01-06 22:00:00,22,6,15.23,53.14,0.115,3.31,7.73,0.0
2023-01-06 23:00:00,23,6,15.52,73.62,0.642,5.34,0.0,0.0
2023-01-07 00:00:00,0,7,11.42,64.07,0.408,5.88,0.0,0.0
2023-01-07 01:00:00,1,7,14.12,71.74,0.495,6.04,28.36,0.0
2023-01-07 02:00:00,2,7,14.97,65.04,0.452,5.75,29.11,0.0
2023-01-07 03:00:00,3,7,15.25,68.42,0.556,5.7,10.51,0.0
2023-01-07 04:00:00,4,7,11.99,81.24,0.821,4.17,19.98,0.0
2023-01-07 05:00:00,5,7,14.13,76.52,0.621,4.77,0.03,0.0
2023-01-07 06:00:00,6,7,13.26,78.58,0.552,5.72,11.42,0.0
2023-01-07 07:00:00,7,7,16.7,62.83,0.359,5.8,39.07,17.434
2023-01-07 08:00:00,8,7,13.36,47.52,0.218,3.93,121.72,54.959
2023-01-07 09:00:00,9,7,15.65,58.98,0.48,5.3,159.32,74.153
2023-01-07 10:00:00,10,7,15.19,56.3,0.575,6.42,228.43,101.392
2023-01-07 11:00:00,11,7,18.91,59.55,0.975,6.31,151.98,72.002
2023-01-07 12:00:00,12,7,22.49,43.8,0.615,5.87,290.94,134.752
2023-01-07 13:00:00,13,7,19.03,45.91,0.803,6.91,206.31,93.319
2023-01-07 14:00:00,14,7,18.84,49.12,0.477,5.32,300.31,136.264
2023-01-07 15:00:00,15,7,18.73,42.25,0.326,3.21,290.74,131.376
2023-01-07 16:00:00,16,7,16.62,50.73,0.374,5.87,158.64,73.226
2023-01-07 17:00:00,17,7,15.99,73.51,0.427,5.48,98.1,44.623
2023-01-07 18:00:00,18,7,14.52,87.38,1.0,5.29,5.82,3.099
2023-01-07 19:00:00,19,7,11.88,72.08,0.406,5.98,0.0,0.0
2023-01-07 20:00:00,20,7,13.01,72.11,0.771,4.17,15.81,0.0
2023-01-07 21:00:00,21,7,14.26,64.15,0.388,5.79,4.23,0.0
2023-01-07 22:00:00,22,7,14.54,79.41,0.791,6.5,0.0,0.0
2023-01-07 23:00:00,23,7,15.09,80.91,0.671,4.5,3.52,0.0
2023-01-08 00:00:00,0,8,13.62,68.54,0.555,5.97,19.15,0.0
2023-01-08 01:00:00,1,8,13.65,69.32,0.58,3.63,0.0,0.0
2023-01-08 02:00:00,2,8,14.25,69.34,0.445,5.97,0.0,0.0
2023-01-08 03:00:00,3,8,12.23,66.8,0.687,5.53,0.0,0.0
2023-01-08 04:00:00,4,8,12.17,62.99,0.489,4.79,1.5,0.0
2023-01-08 05:00:00,5,8,12.93,60.51,0.32,5.77,0.0,0.0
2023-01-08 06:00:00,6,8,11.21,68.89,0.308,2.85,0.0,0.0
2023-01-08 07:00:00,7,8,14.51,70.64,0.627,5.11,43.54,18.903
2023-01-08 08:00:00,8,8,16.99,74.85,0.937,6.55,46.81,19.721
2023-01-08 09:00:00,9,8,15.71,48.58,0.624,3.9,135.1,61.633
2023-01-08 10:00:00,10,8,18.53,43.84,0.563,3.45,244.27,108.703
2023-01-08 11:00:00,11,8,17.72,52.22,0.652,5.48,240.4,109.596
2023-01-08 12:00:00,12,8,17.54,48.38,0.876,5.21,171.65,78.796
2023-01-08 13:00:00,13,8,22.15,43.97,0.637,5.04,267.82,121.121
2023-01-08 14:00:00,14,8,17.16,51.94,0.499,5.11,281.52,128.792
2023-01-08 15:00:00,15,8,15.96,54.05,0.833,5.24,140.39,66.37
2023-01-08 16:00:00,16,8,17.09,56.27,0.684,4.35,139.8,63.896
2023-01-08 17:00:00,17,8,15.82,67.72,0.927,5.03,70.03,31.338
2023-01-08 18:00:00,18,8,14.9,68.38,0.629,4.14,10.94,6.363
2023-01-08 19:00:00,19,8,16.12,69.82,0.32,4.95,9.42,0.0
2023-01-08 20:00:00,20,8,11.95,59.71,0.288,3.12,0.0,0.0
2023-01-08 21:00:00,21,8,12.25,78.11,0.952,7.3,7.59,0.0
2023-01-08 22:00:00,22,8,15.53,85.18,0.968,4.44,27.06,0.0
2023-01-08 23:00:00,23,8,14.53,81.66,0.55,4.29,0.35,0.0
2023-01-09 00:00:00,0,9,14.3,63.36,0.507,5.68,0.0,0.0
2023-01-09 01:00:00,1,9,12.21,79.92,0.913,4.55,0.0,0.0
2023-01-09 02:00:00,2,9,14.79,66.01,0.348,4.63,7.26,0.0
2023-01-09 03:00:00,3,9,14.3,67.4,0.395,3.86,0.9,0.0
2023-01-09 04:00:00,4,9,13.38,70.71,0.733,6.73,0.0,0.0
2023-01-09 05:00:00,5,9,12.22,73.87,0.505,3.92,9.8,0.0
2023-01-09 06:00:00,6,9,13.26,75.33,0.59,3.69,0.0,0.0
2023-01-09 07:00:00,7,9,16.35,80.46,0.556,5.23,34.22,15.742
2023-01-09 08:00:00,8,9,13.75,57.14,0.666,4.79,69.09,33.168
2023-01-09 09:00:00,9,9,15.55,54.07,0.901,6.96,97.26,44.677
2023-01-09 10:00:00,10,9,16.91,62.67,0.611,6.27,218.54,98.2
2023-01-09 11:00:00,11,9,18.02,51.31,0.733,6.22,179.57,81.88
2023-01-09 12:00:00,12,9,19.02,35.74,0.14,2.74,453.63,201.25
2023-01-09 13:00:00,13,9,20.48,47.77,0.581,5.43,263.91,121.62
2023-01-09 14:00:00,14,9,19.33,38.05,0.406,3.29,296.52,133.107
2023-01-09 15:00:00,15,9,17.95,48.51,0.323,2.88,284.61,128.917
2023-01-09 16:00:00,16,9,17.16,52.35,0.398,3.59,193.66,87.354
2023-01-09 17:00:00,17,9,16.33,66.16,0.518,4.78,66.98,31.008
2023-01-09 18:00:00,18,9,11.36,76.88,0.793,5.34,18.83,11.326
2023-01-09 19:00:00,19,9,14.7,70.7,0.3,5.08,0.0,0.0
2023-01-09 20:00:00,20,9,11.86,72.92,0.598,5.07,1.02,0.0
2023-01-09 21:00:00,21,9,12.43,77.72,0.485,4.01,37.94,0.0
2023-01-09 22:00:00,22,9,13.61,73.27,0.519,3.72,0.0,0.0
2023-01-09 23:00:00,23,9,12.98,73.58,0.812,5.74,0.0,0.0
2023-01-10 00:00:00,0,10,13.81,70.19,0.712,5.8,0.0,0.0
2023-01-10 01:00:00,1,10,13.29,74.27,0.888,4.86,0.0,0.0
2023-01-10 02:00:00,2,10,12.64,74.14,0.56,5.29,0.0,0.0
2023-01-10 03:00:00,3,10,15.37,62.15,0.441,5.68,0.51,0.0
2023-01-10 04:00:00,4,10,14.14,71.66,0.544,4.09,0.0,0.0
2023-01-10 05:00:00,5,10,13.53,68.77,0.647,6.08,0.0,0.0
2023-01-10 06:00:00,6,10,14.11,66.38,0.632,6.43,12.37,0.0
2023-01-10 07:00:00,7,10,12.8,58.38,0.355,5.7,46.5,20.147
2023-01-10 08:00:00,8,10,18.63,62.58,0.614,3.96,74.24,33.175
2023-01-10 09:00:00,9,10,15.1,61.48,0.644,3.76,145.07,66.732
2023-01-10 10:00:00,10,10,18.0,56.79,1.0,6.68,64.68,31.398
2023-01-10 11:00:00,11,10,18.19,46.52,1.0,5.65,115.97,54.589
2023-01-10 12:00:00,12,10,18.54,59.1,0.406,3.55,383.37,174.979
2023-01-10 13:00:00,13,10,18.34,51.41,0.53,4.67,318.93,144.524
2023-01-10 14:00:00,14,10,17.46,47.0,0.272,4.31,372.57,169.671
2023-01-10 15:00:00,15,10,19.62,57.58,0.464,3.64,248.15,112.475
2023-01-10 16:00:00,16,10,14.92,58.5,0.663,3.77,131.43,58.465
2023-01-10 17:00:00,17,10,16.85,66.94,0.859,6.49,58.91,26.6
2023-01-10 18:00:00,18,10,14.83,72.18,0.433,4.45,40.08,17.879
2023-01-10 19:00:00,19,10,12.5,75.74,0.45,3.86,0.0,0.0
2023-01-10 20:00:00,20,10,13.87,65.5,0.121,5.17,11.27,0.0
2023-01-10 21:00:00,21,10,12.84,75.57,0.558,5.67,0.0,0.0
2023-01-10 22:00:00,22,10,11.42,61.0,0.36,4.11,0.0,0.0
2023-01-10 23:00:00,23,10,11.44,68.26,0.477,4.01,0.0,0.0
2023-01-11 00:00:00,0,11,14.04,76.57,0.402,5.19,2.4,0.0
2023-01-11 01:00:00,1,11,13.96,75.52,0.575,5.61,1.25,0.0
2023-01-11 02:00:00,2,11,13.42,56.86,0.209,5.17,5.95,0.0
2023-01-11 03:00:00,3,11,12.47,62.8,0.273,2.72,4.63,0.0
2023-01-11 04:00:00,4,11,12.77,87.7,1.0,6.39,10.85,0.0
2023-01-11 05:00:00,5,11,12.57,68.52,0.312,3.63,31.27,0.0
2023-01-11 06:00:00,6,11,10.44,67.99,0.354,5.81,10.99,0.0
2023-01-11 07:00:00,7,11,13.93,77.79,1.0,4.57,0.0,0.608
2023-01-11 08:00:00,8,11,16.14,70.02,1.0,5.96,33.35,14.532
2023-01-11 09:00:00,9,11,16.81,48.91,0.338,4.98,201.96,89.663
2023-01-11 10:00:00,10,11,20.47,46.29,0.514,5.54,211.22,94.387
2023-01-11 11:00:00,11,11,17.09,55.37,0.671,5.58,244.28,111.095
2023-01-11 12:00:00,12,11,18.01,55.92,0.976,5.86,163.94,74.897
2023-01-11 13:00:00,13,11,19.2,46.32,0.378,5.67,353.15,159.382
2023-01-11 14:00:00,14,11,18.97,50.47,0.541,5.08,295.93,132.803
2023-01-11 15:00:00,15,11,14.96,62.54,0.766,5.48,178.77,79.323
2023-01-11 16:00:00,16,11,17.61,60.88,0.691,6.3,134.73,59.523
2023-01-11 17:00:00,17,11,15.72,64.8,0.513,4.61,103.74,46.461
2023-01-11 18:00:00,18,11,10.66,68.89,0.566,5.24,9.61,2.467
2023-01-11 19:00:00,19,11,12.88,61.12,0.293,3.72,17.26,0.0
2023-01-11 20:00:00,20,11,11.84,69.73,0.543,3.99,18.99,0.0
2023-01-11 21:00:00,21,11,12.38,73.69,0.537,4.72,7.16,0.0
2023-01-11 22:00:00,22,11,11.05,76.32,0.646,4.62,4.58,0.0
2023-01-11 23:00:00,23,11,13.68,76.72,0.473,3.3,0.0,0.0
2023-01-12 00:00:00,0,12,15.68,71.71,0.701,5.21,14.2,0.0
2023-01-12 01:00:00,1,12,13.44,77.52,0.82,6.02,0.21,0.0
2023-01-12 02:00:00,2,12,9.8,71.98,0.631,3.73,0.0,0.0
2023-01-12 03:00:00,3,12,13.47,81.61,0.674,5.39,14.16,0.0
2023-01-12 04:00:00,4,12,12.75,74.05,0.609,4.45,0.0,0.0
2023-01-12 05:00:00,5,12,11.39,73.92,0.597,3.61,0.0,0.0
2023-01-12 06:00:00,6,12,13.57,68.58,0.438,3.39,16.32,0.0
2023-01-12 07:00:00,7,12,15.14,68.94,0.667,5.82,0.0,0.638
2023-01-12 08:00:00,8,12,14.33,54.7,0.575,5.06,95.46,46.011
2023-01-12 09:00:00,9,12,14.23,58.47,1.0,7.37,49.53,21.377
2023-01-12 10:00:00,10,12,14.78,59.92,0.943,6.4,85.18,37.79
2023-01-12 11:00:00,11,12,17.59,50.81,0.682,6.59,238.45,108.634
2023-01-12 12:00:00,12,12,18.76,44.72,0.429,3.93,352.64,160.335
2023-01-12 13:00:00,13,12,18.21,46.96,0.352,4.63,367.84,168.848
2023-01-12 14:00:00,14,12,17.56,54.55,0.859,5.82,149.1,67.103
2023-01-12 15:00:00,15,12,18.65,51.52,0.655,5.21,200.4,89.715
2023-01-12 16:00:00,16,12,17.39,57.78,0.703,6.45,121.66,54.28
2023-01-12 17:00:00,17,12,15.64,55.91,0.213,4.12,136.84,61.313
2023-01-12 18:00:00,18,12,15.05,70.86,0.801,4.79,6.03,2.433
2023-01-12 19:00:00,19,12,12.06,79.26,0.697,5.85,0.0,0.0
2023-01-12 20:00:00,20,12,11.4,67.0,0.353,3.68,16.63,0.0
2023-01-12 21:00:00,21,12,12.26,71.12,0.493,3.48,0.0,0.0
2023-01-12 22:00:00,22,12,12.15,69.02,0.655,5.4,0.0,0.0
2023-01-12 23:00:00,23,12,9.96,77.49,0.608,3.93,0.0,0.0
2023-01-13 00:00:00,0,13,12.21,77.87,0.534,5.48,3.63,0.0
2023-01-13 01:00:00,1,13,14.68,64.69,0.575,4.75,28.67,0.0
2023-01-13 02:00:00,2,13,14.23,72.86,0.543,5.96,2.28,0.0
2023-01-13 03:00:00,3,13,13.81,72.09,0.632,4.79,0.0,0.0
2023-01-13 04:00:00,4,13,13.22,79.86,0.922,5.49,0.0,0.0
2023-01-13 05:00:00,5,13,15.2,62.93,0.033,3.37,6.16,0.0
2023-01-13 06:00:00,6,13,11.44,59.75,0.546,5.51,0.0,0.0
2023-01-13 07:00:00,7,13,12.36,73.27,0.637,4.06,0.0,1.64
2023-01-13 08:00:00,8,13,17.01,69.26,0.663,4.68,77.94,37.131
2023-01-13 09:00:00,9,13,16.72,61.23,0.516,4.09,180.47,81.307
2023-01-13 10:00:00,10,13,16.78,39.68,0.212,3.69,337.54,153.738
2023-01-13 11:00:00,11,13,19.4,50.15,0.67,6.41,238.58,107.941
2023-01-13 12:00:00,12,13,18.32,52.08,0.978,6.34,155.0,71.81
2023-01-13 13:00:00,13,13,17.72,30.85,0.261,4.16,411.01,185.468
2023-01-13 14:00:00,14,13,17.27,49.56,0.788,4.36,186.21,84.214
2023-01-13 15:00:00,15,13,18.27,45.26,0.526,5.04,232.39,104.01
2023-01-13 16:00:00,16,13,16.99,58.15,0.585,5.86,157.65,70.274
2023-01-13 17:00:00,17,13,17.6,49.61,0.366,4.0,166.57,75.747
2023-01-13 18:00:00,18,13,13.38,62.33,0.525,6.02,19.41,9.967
2023-01-13 19:00:00,19,13,12.57,75.08,0.884,5.26,2.69,0.0
2023-01-13 20:00:00,20,13,15.19,78.38,0.726,4.3,26.06,0.0
2023-01-13 21:00:00,21,13,14.51,93.47,0.979,6.93,8.32,0.0
2023-01-13 22:00:00,22,13,13.24,78.66,0.857,5.84,0.0,0.0
2023-01-13 23:00:00,23,13,10.69,68.73,0.695,5.29,25.79,0.0
2023-01-14 00:00:00,0,14,11.8,76.26,0.983,7.23,4.86,0.0
2023-01-14 01:00:00,1,14,11.44,77.2,0.696,6.21,0.0,0.0
2023-01-14 02:00:00,2,14,13.07,68.89,0.781,6.93,0.0,0.0
2023-01-14 03:00:00,3,14,12.25,76.16,0.534,5.41,0.0,0.0
2023-01-14 04:00:00,4,14,15.42,73.64,0.614,5.27,0.0,0.0
2023-01-14 05:00:00,5,14,10.66,68.29,0.446,4.73,0.0,0.0
2023-01-14 06:00:00,6,14,11.27,67.91,0.817,5.11,10.84,0.0
2023-01-14 07:00:00,7,14,14.17,68.13,0.34,3.39,46.57,19.944
2023-01-14 08:00:00,8,14,16.09,62.05,0.771,6.4,82.68,35.21
2023-01-14 09:00:00,9,14,12.79,56.69,0.557,3.41,183.43,82.042
2023-01-14 10:00:00,10,14,15.17,56.51,0.857,6.81,135.09,61.951
2023-01-14 11:00:00,11,14,18.16,44.27,0.764,4.7,169.64,73.145
2023-01-14 12:00:00,12,14,21.0,54.05,1.0,5.22,91.66,41.419
2023-01-14 13:00:00,13,14,21.8,44.36,0.76,3.92,233.62,107.234
2023-01-14 14:00:00,14,14,17.94,38.71,0.253,3.71,380.56,172.93
2023-01-14 15:00:00,15,14,17.52,54.02,0.584,3.73,239.46,108.609
2023-01-14 16:00:00,16,14,15.41,55.12,0.341,3.41,210.67,95.196
2023-01-14 17:00:00,17,14,16.26,60.04,0.485,5.28,68.95,32.589
2023-01-14 18:00:00,18,14,16.09,70.95,0.931,5.57,2.08,1.548
2023-01-14 19:00:00,19,14,14.9,71.55,0.739,3.88,6.42,0.0
2023-01-14 20:00:00,20,14,12.97,65.58,0.445,4.06,0.0,0.0
2023-01-14 21:00:00,21,14,11.76,56.83,0.376,2.96,22.58,0.0
2023-01-14 22:00:00,22,14,13.03,72.49,0.606,6.26,0.0,0.0
2023-01-14 23:00:00,23,14,15.09,58.3,0.331,5.41,0.0,0.0
2023-01-15 00:00:00,0,15,12.41,69.42,0.452,4.19,0.0,0.0
2023-01-15 01:00:00,1,15,10.29,66.07,0.668,4.39,30.57,0.0
2023-01-15 02:00:00,2,15,12.47,71.04,0.854,4.46,0.0,0.0
